State,Website,Address,Email
Andhra Pradesh,http://www.ap.gov.in/,"AP Secretariat, Velagapudi, Amaravati - 522238",cs@ap.gov.in
Arunachal Pradesh,http://www.arunachalpradesh.gov.in/,"CM's Office, 6th Floor, Block -2, Itanagar – 791111",cmoffice-arn@gov.in
Assam,https://assam.gov.in/,"CM Secretariat, Janata Bhawan, Dispur, Guwahati - 781006",cm@assam.gov.in
Bihar,http://state.bihar.gov.in/,"Main Secretariat, Patna, Bihar - 800015",cs-bihar@nic.in
Chhattisgarh,http://cgstate.gov.in/,"Mahanadi Bhawan, Mantralaya, Naya Raipur, Atal Nagar, Raipur",cs-cg@nic.in
Goa,https://www.goa.gov.in/,"Secretariat, Porvorim, Bardez, Goa - 403521",cs-goa@nic.in
Gujarat,https://gujaratindia.gov.in/,"Swarnim Sankul, Sachivalay, Sector 10, Gandhinagar",cs-guj@nic.in
Haryana,http://www.haryana.gov.in/,"Haryana Civil Secretariat, Sector-1, Chandigarh",cs@hry.nic.in
Himachal Pradesh,https://himachal.gov.in/,"H.P. Secretariat, Shimla - 171002",cs-hp@nic.in
Jharkhand,http://www.jharkhand.gov.in/,"Project Building, Dhurwa, Ranchi - 834004",cs-jharkhand@nic.in
Karnataka,https://www.karnataka.gov.in/,"Room No. 320, 3rd floor, Vidhana Soudha, Bengaluru - 560001",cs@karnataka.gov.in
Kerala,https://kerala.gov.in/,"Government Secretariat, Thiruvananthapuram - 695001",chiefsecy@kerala.gov.in
Madhya Pradesh,http://www.mp.gov.in/,"Mantralaya, Vallabh Bhawan, Bhopal - 462004",cs@mp.gov.in
Maharashtra,https://www.maharashtra.gov.in/,"Mantralaya, Madam Cama Road, Mumbai - 400032",chiefsecretary@maharashtra.gov.in
Manipur,https://www.manipur.gov.in/,"South Block, Old Secretariat, Imphal - 795001",cs-manipur@nic.in
Meghalaya,http://meghalaya.gov.in/,"Main Secretariat Building, Rilang Building, Shillong - 793001",cso-meg@nic.in
Mizoram,https://mizoram.gov.in/,"New Secretariat Complex, Khatla, Aizawl - 796001",cs-mizoram@nic.in
Nagaland,https://www.nagaland.gov.in/,"Civil Secretariat, Kohima - 797004",csnagaland@nagaland.gov.in
Odisha,https://odisha.gov.in/,"Lok Seva Bhawan, Sachivalaya Marg, Bhubaneswar - 751001",csori@nic.in
Punjab,http://punjab.gov.in/,"Punjab Civil Secretariat, Sector 1, Chandigarh",cs@punjab.gov.in
Rajasthan,https://rajasthan.gov.in/,"Secretariat, Janpath, Jaipur - 302005",cs@rajasthan.gov.in
Sikkim,https://www.sikkim.gov.in/,"Tashiling Secretariat, Gangtok - 737101",cs-sikkim@nic.in
Tamil Nadu,https://www.tn.gov.in/,"Secretariat, Fort St. George, Chennai - 600009",cs@tn.gov.in
Telangana,https://www.telangana.gov.in/,"Dr. B. R. Ambedkar Telangana State Secretariat, Hyderabad",cs@telangana.gov.in
Tripura,https://tripura.gov.in/,"New Secretariat Complex, P.O. Secretariat, Agartala - 799010",cs-tripura@nic.in
Uttar Pradesh,http://up.gov.in/,"Lok Bhawan, Vidhan Sabha Marg, Lucknow - 226001",csup@nic.in
Uttarakhand,https://uk.gov.in/,"4 Subhash Road, Uttarakhand Secretariat, Dehradun - 248001",cs-uttarakhand@nic.in
West Bengal,https://wb.gov.in/,"Nabanna, 325, Sarat Chatterjee Road, Howrah - 711102",cs-westbengal@nic.in
